season,holiday,workingday,weather,temp,atemp,humidity,windspeed,year,month,day,hour,count
2,0,0,3,18.04,21.97,94,15.0013,2011,4,16,20,53
3,0,0,2,29.52,34.85,79,30.0026,2011,8,6,18,211
2,0,1,1,22.14,25.76,28,16.9979,2012,4,13,15,352
2,0,0,1,27.06,30.305,78,15.0013,2011,6,12,0,119
4,0,0,1,18.86,22.725,59,27.9993,2011,10,1,3,25
3,0,1,1,27.06,29.545,89,0.0,2011,8,8,2,7
2,0,1,1,27.06,31.06,61,0.0,2012,5,16,10,192
3,0,1,2,28.7,33.335,79,23.9994,2011,9,8,14,120
2,0,1,1,13.94,15.91,66,16.9979,2011,5,5,6,89
2,0,0,1,13.12,15.15,33,19.0012,2012,4,7,7,54
3,0,1,3,27.88,31.82,79,43.0006,2012,9,18,10,160
3,0,0,1,20.5,24.24,77,7.0015,2012,9,16,7,71
1,0,1,1,18.04,21.97,72,6.0032,2012,3,15,7,381
2,0,1,1,28.7,32.575,54,8.9981,2012,5,16,11,267
2,0,0,1,29.52,32.575,37,15.0013,2012,6,16,14,573
3,0,1,1,30.34,34.85,66,7.0015,2012,8,8,21,381
1,0,0,1,22.96,26.515,64,6.0032,2012,3,18,17,541
2,0,1,1,31.16,33.335,27,0.0,2011,6,15,15,164
2,0,0,2,25.42,30.305,61,0.0,2012,5,6,16,544
1,0,1,1,9.84,12.88,52,6.0032,2011,3,8,3,7
3,0,1,2,28.7,32.575,54,12.998,2012,9,14,13,408
4,0,1,1,21.32,25.0,63,22.0028,2011,12,15,23,114
2,0,0,3,21.32,25.0,83,11.0014,2012,5,6,5,11
2,0,1,2,18.86,22.725,100,15.0013,2011,4,11,6,61
1,0,1,3,9.02,10.605,93,15.0013,2011,2,2,8,155
1,0,1,1,15.58,19.695,40,31.0009,2011,2,14,8,256
1,0,1,2,8.2,9.09,40,19.0012,2011,1,10,13,54
4,0,0,2,14.76,16.665,46,26.0027,2012,11,3,11,340
3,0,1,1,26.24,30.305,69,7.0015,2012,8,13,4,11
4,0,1,2,22.14,25.76,100,7.0015,2011,10,13,4,7
1,0,1,1,2.46,7.575,45,0.0,2011,2,9,6,43
2,0,1,1,22.14,25.76,45,19.9995,2011,6,3,6,106
4,0,0,1,12.3,14.395,70,12.998,2012,11,18,1,95
2,0,1,1,25.42,30.305,69,30.0026,2011,5,17,15,210
4,0,0,3,14.76,18.18,93,7.0015,2012,12,9,22,78
4,1,0,1,13.12,15.91,39,12.998,2011,11,11,22,91
1,0,1,2,18.04,21.97,51,32.9975,2012,1,18,3,4
4,0,0,2,16.4,20.455,87,8.9981,2012,12,8,10,287
3,0,1,3,29.52,34.85,79,11.0014,2011,7,19,23,92
1,0,0,3,9.02,9.85,75,27.9993,2012,2,11,16,146
1,0,0,2,10.66,12.88,56,11.0014,2011,1,16,5,2
1,0,1,3,9.02,11.365,93,8.9981,2011,2,2,2,4
1,1,0,2,9.84,10.605,41,22.0028,2012,1,2,21,66
1,0,1,2,7.38,10.605,51,6.0032,2011,1,11,8,217
3,0,1,1,28.7,32.575,48,12.998,2011,7,15,12,238
3,0,1,2,27.88,31.82,65,8.9981,2011,9,15,11,159
3,0,0,2,26.24,28.79,83,15.0013,2012,8,18,0,105
1,0,1,2,13.12,16.665,45,8.9981,2012,2,10,15,191
4,0,1,1,14.76,18.18,40,7.0015,2012,11,6,14,240
1,0,0,1,9.02,10.605,44,19.9995,2012,3,10,8,111
1,0,0,2,9.02,9.85,100,26.0027,2011,3,6,22,10
4,0,1,1,28.7,32.575,48,12.998,2012,10,5,11,304
2,0,0,1,22.96,26.515,73,11.0014,2012,5,6,22,157
2,0,1,2,19.68,23.485,67,0.0,2011,4,19,6,65
2,0,1,2,24.6,29.545,69,8.9981,2011,6,16,8,388
4,0,1,2,25.42,27.275,94,7.0015,2012,10,3,5,34
3,0,0,3,23.78,27.275,83,8.9981,2012,9,8,18,167
1,0,1,3,18.04,21.97,0,19.9995,2011,3,10,14,12
3,0,1,1,22.14,25.76,83,0.0,2012,9,14,5,41
4,0,1,3,18.04,21.97,100,6.0032,2011,12,7,11,50
4,0,1,1,15.58,19.695,43,15.0013,2012,11,16,11,218
1,0,0,2,9.84,11.365,56,16.9979,2012,2,19,9,93
2,0,1,3,27.06,30.305,83,16.9979,2012,6,12,12,95
4,0,1,2,16.4,20.455,58,11.0014,2012,11,1,13,248
4,0,0,1,16.4,20.455,40,15.0013,2012,11,4,15,449
4,1,0,1,21.32,25.0,77,16.9979,2012,11,12,22,112
3,0,1,1,33.62,37.12,43,7.0015,2011,8,8,19,416
3,0,1,2,28.7,32.575,54,0.0,2012,7,13,7,380
3,0,1,2,32.8,37.12,52,16.9979,2012,8,8,14,236
3,0,1,1,31.98,38.635,70,7.0015,2012,9,5,12,266
3,0,1,1,27.06,30.305,83,11.0014,2012,8,3,5,37
1,0,1,1,13.94,15.15,31,26.0027,2011,3,7,15,96
4,0,1,1,10.66,13.635,65,8.9981,2011,12,8,22,92
4,0,1,1,18.04,21.97,82,8.9981,2011,10,5,5,32
3,0,0,1,29.52,33.335,58,12.998,2011,9,10,18,360
4,0,1,1,18.04,21.97,44,19.0012,2012,12,5,11,172
1,0,1,1,9.02,10.605,69,15.0013,2011,3,2,5,5
1,0,0,1,20.5,24.24,29,19.9995,2012,3,11,15,487
2,0,1,1,29.52,34.85,79,6.0032,2012,6,19,22,291
2,0,0,2,17.22,21.21,67,15.0013,2012,4,1,12,445
3,0,1,2,22.14,25.76,45,11.0014,2011,9,16,14,225
2,0,1,1,21.32,25.0,23,27.9993,2012,4,6,17,655
2,0,1,1,21.32,25.0,48,22.0028,2011,6,3,4,6
3,0,1,1,30.34,34.85,66,16.9979,2012,8,10,21,286
4,0,0,1,13.12,15.15,45,19.0012,2011,12,18,15,207
4,0,0,2,14.76,18.94,62,0.0,2012,12,16,0,110
2,0,1,1,21.32,25.0,77,16.9979,2012,5,2,20,338
1,0,0,1,15.58,19.695,46,11.0014,2012,1,7,1,62
3,0,1,1,26.24,29.545,78,8.9981,2011,9,13,22,144
1,0,1,1,10.66,13.635,41,7.0015,2012,3,6,12,138
4,0,0,1,13.94,16.665,53,8.9981,2012,10,13,1,146
3,0,0,1,27.06,31.06,39,8.9981,2012,9,16,14,635
2,0,1,1,24.6,28.79,78,8.9981,2012,5,17,0,79
3,0,0,1,30.34,34.85,70,16.9979,2011,8,13,14,259
2,0,1,1,14.76,18.18,71,7.0015,2011,5,6,3,9
3,0,0,1,29.52,34.09,66,16.9979,2011,7,10,23,72
4,0,1,1,16.4,20.455,76,8.9981,2011,11,2,19,282
2,0,1,2,20.5,24.24,88,15.0013,2011,4,11,7,176
1,0,1,2,10.66,15.15,56,0.0,2012,2,14,1,6
1,0,0,1,12.3,14.395,45,19.0012,2011,1,15,23,44
1,0,1,2,16.4,20.455,76,15.0013,2011,3,16,14,100
1,0,1,1,16.4,20.455,62,19.0012,2011,1,19,13,78
3,0,1,1,29.52,34.09,62,0.0,2012,7,5,5,29
3,0,0,1,33.62,35.605,30,19.0012,2011,7,2,18,383
3,0,0,3,37.72,44.695,42,19.0012,2012,7,8,15,298
4,0,1,2,19.68,23.485,77,6.0032,2012,10,9,22,162
3,0,1,1,31.98,34.85,40,11.0014,2012,7,9,17,849
3,0,1,1,21.32,25.0,63,15.0013,2012,9,19,7,545
1,0,1,1,12.3,13.635,42,27.9993,2011,3,7,12,96
3,0,0,1,26.24,30.305,65,11.0014,2012,8,12,6,16
3,0,1,1,31.16,34.85,52,19.0012,2011,9,14,17,599
1,0,0,1,7.38,10.605,37,6.0032,2012,1,15,22,60
3,0,1,1,27.06,31.06,74,19.0012,2011,8,18,8,420
4,0,0,1,12.3,14.395,56,16.9979,2011,12,3,0,75
1,0,1,1,9.02,9.09,32,31.0009,2011,2,15,5,4
2,0,0,1,21.32,25.0,59,7.0015,2012,6,3,2,89
3,0,1,1,24.6,31.06,53,19.9995,2012,9,10,9,361
4,0,0,1,22.96,26.515,83,12.998,2012,10,6,8,206
1,0,1,2,14.76,17.425,62,12.998,2011,3,15,17,217
4,0,1,1,13.12,15.91,70,11.0014,2011,12,15,0,50
2,0,0,1,22.14,25.76,88,0.0,2011,5,15,20,191
4,0,1,1,20.5,24.24,77,0.0,2011,10,17,22,104
1,0,0,2,16.4,20.455,87,0.0,2012,3,3,10,168
2,0,0,1,18.86,22.725,23,15.0013,2012,4,7,23,118
3,0,1,1,29.52,33.335,64,0.0,2011,8,9,6,101
2,0,1,2,26.24,30.305,69,27.9993,2011,4,11,13,139
1,0,1,2,6.56,9.09,80,8.9981,2011,2,4,9,127
3,0,0,1,32.8,38.635,59,32.9975,2012,7,15,17,436
3,0,1,2,26.24,30.305,73,6.0032,2011,9,2,21,149
2,0,1,1,25.42,31.06,35,0.0,2011,6,3,22,171
3,0,1,1,24.6,28.03,83,12.998,2011,8,15,3,7
3,0,1,3,31.16,34.85,55,8.9981,2011,8,3,12,161
4,0,1,1,12.3,14.395,39,15.0013,2012,11,8,6,124
1,0,1,1,13.12,16.665,76,8.9981,2011,3,17,7,140
4,0,1,1,16.4,20.455,40,19.9995,2012,11,13,15,217
1,0,1,1,20.5,24.24,29,16.9979,2012,1,6,18,419
2,0,1,2,31.16,34.85,52,16.9979,2011,6,7,11,151
1,0,0,1,9.02,11.365,51,8.9981,2011,2,12,23,32
2,0,0,1,23.78,27.275,46,8.9981,2012,6,2,22,228
4,0,1,2,22.14,25.76,77,12.998,2012,10,18,21,283
4,0,1,2,21.32,25.0,77,12.998,2011,10,19,2,7
3,0,1,1,27.06,29.545,89,12.998,2011,7,7,2,8
4,0,1,1,14.76,17.425,43,8.9981,2012,11,14,14,181
2,0,0,1,12.3,15.91,61,7.0015,2011,4,3,1,34
1,0,0,1,8.2,11.365,64,7.0015,2011,2,13,0,39
4,0,0,1,13.94,17.425,76,6.0032,2012,11,11,1,108
2,0,1,1,22.96,26.515,56,11.0014,2012,6,8,1,29
4,0,0,1,14.76,17.425,71,15.0013,2011,10,2,21,88
4,0,1,2,16.4,20.455,87,0.0,2012,12,17,12,232
3,0,1,1,37.72,41.665,33,15.0013,2012,7,5,13,310
2,0,1,1,24.6,31.06,38,7.0015,2011,4,7,15,160
2,0,0,3,21.32,25.0,83,15.0013,2012,5,6,6,17
1,0,1,1,11.48,12.88,61,19.9995,2012,3,7,8,566
1,0,0,2,12.3,15.15,70,8.9981,2012,2,11,0,53
2,0,0,2,20.5,24.24,72,12.998,2011,5,1,16,214
4,0,1,2,16.4,20.455,76,0.0,2011,11,4,2,10
2,0,1,2,25.42,30.305,69,8.9981,2011,5,2,19,314
2,0,0,1,21.32,25.0,72,12.998,2012,5,13,5,12
4,0,0,1,13.94,17.425,61,6.0032,2012,12,15,11,393
3,0,1,2,29.52,34.85,79,15.0013,2012,9,6,12,137
2,0,1,2,22.96,26.515,88,0.0,2012,5,2,8,666
2,0,1,2,22.14,25.76,52,6.0032,2011,4,18,11,123
2,1,0,1,18.04,21.97,67,0.0,2011,4,15,0,27
1,0,1,1,4.92,6.06,50,15.0013,2011,1,10,3,1
4,0,0,2,15.58,19.695,82,12.998,2011,10,1,19,126
1,0,1,1,8.2,11.365,55,6.0032,2012,3,5,5,18
1,0,1,2,7.38,12.12,55,0.0,2011,1,14,23,27
4,0,1,3,18.04,21.97,88,43.0006,2012,11,13,1,5
1,0,1,3,15.58,19.695,0,19.0012,2011,3,10,8,44
4,0,1,1,21.32,25.0,83,7.0015,2012,10,5,7,428
2,0,0,3,13.12,16.665,81,8.9981,2011,4,2,12,184
1,0,0,1,7.38,9.85,59,11.0014,2011,1,15,10,59
1,0,1,1,16.4,20.455,47,15.0013,2012,1,10,5,23
2,0,1,3,16.4,20.455,94,22.0028,2011,4,13,3,2
4,0,1,3,18.86,22.725,94,6.0032,2011,11,16,1,5
1,0,1,1,13.94,15.15,34,19.9995,2011,2,16,11,66
1,0,1,1,5.74,8.335,59,7.0015,2011,1,11,0,12
4,0,1,1,18.86,22.725,59,7.0015,2011,11,7,18,425
2,0,0,1,14.76,18.18,66,7.0015,2012,4,14,5,7
2,0,0,1,21.32,25.0,55,15.0013,2012,4,1,19,346
4,0,0,2,16.4,20.455,82,12.998,2012,12,16,22,89
3,0,1,2,30.34,34.09,58,8.9981,2012,7,9,12,266
1,0,1,1,18.86,22.725,88,7.0015,2012,3,19,8,579
2,0,1,1,18.86,22.725,77,12.998,2012,5,10,4,2
2,0,1,1,26.24,31.06,57,11.0014,2012,4,17,1,11
1,0,1,2,13.12,17.425,66,0.0,2012,2,10,22,113
2,0,0,1,31.16,35.605,62,8.9981,2011,6,11,11,325
2,0,1,1,34.44,37.88,41,12.998,2011,6,8,11,134
4,0,0,1,12.3,14.395,49,19.0012,2011,12,17,0,62
1,0,1,3,13.12,15.91,81,12.998,2012,2,16,14,31
3,0,0,1,26.24,30.305,69,11.0014,2011,9,3,8,89
1,0,0,1,14.76,15.91,25,30.0026,2011,2,19,18,88
2,0,1,1,29.52,34.85,74,11.0014,2011,6,10,23,146
1,0,1,1,18.04,21.97,54,19.0012,2011,3,17,11,86
2,0,1,3,15.58,19.695,94,12.998,2011,4,13,8,164
1,0,1,1,17.22,21.21,38,19.9995,2012,1,10,12,140
3,0,1,1,21.32,25.0,68,15.0013,2012,9,10,7,447
4,1,0,1,13.94,15.15,39,22.0028,2011,11,11,17,310
2,0,1,1,26.24,31.06,27,15.0013,2012,4,4,20,372
1,0,0,1,15.58,19.695,40,15.0013,2012,1,8,17,219
3,0,1,3,28.7,33.335,84,19.0012,2012,8,10,4,7
1,0,1,2,15.58,19.695,43,19.0012,2011,3,15,15,90
2,0,0,1,28.7,33.335,79,8.9981,2011,6,11,0,117
2,0,1,2,22.14,25.76,68,11.0014,2011,4,19,11,72
2,0,1,1,30.34,34.09,62,19.0012,2011,6,17,13,204
3,0,1,2,30.34,34.85,66,23.9994,2012,8,10,12,315
2,0,0,1,25.42,29.545,78,7.0015,2012,5,5,9,284
2,0,1,2,12.3,13.635,93,19.9995,2011,4,8,22,51
3,0,0,1,28.7,33.335,89,12.998,2011,8,7,5,5
3,0,0,1,28.7,33.335,74,8.9981,2011,9,4,10,297
3,0,1,1,22.96,26.515,73,0.0,2012,9,13,8,758
3,0,1,1,29.52,34.85,74,7.0015,2012,8,8,22,233
3,0,1,1,31.16,35.605,62,12.998,2012,7,10,10,190
2,0,1,2,26.24,28.79,83,15.0013,2012,6,1,9,298
3,0,1,1,29.52,34.09,62,15.0013,2011,8,1,20,305
3,0,0,1,30.34,34.09,58,11.0014,2011,7,9,21,238
3,0,1,2,24.6,28.79,78,11.0014,2012,9,14,8,766
2,0,0,3,22.14,25.76,94,8.9981,2011,5,14,20,157
2,0,1,1,27.06,31.06,57,6.0032,2011,6,6,21,189
4,0,1,1,13.12,14.395,45,26.0027,2012,12,5,22,105
3,0,1,1,29.52,34.85,74,8.9981,2011,7,11,22,90
3,0,1,1,31.16,36.365,66,7.0015,2012,7,18,1,16
2,0,1,1,17.22,21.21,35,12.998,2012,4,12,23,94
1,0,1,3,12.3,15.91,61,7.0015,2012,2,8,15,54
3,0,1,1,30.34,34.85,66,8.9981,2012,7,18,3,4
3,0,0,1,27.06,29.545,89,22.0028,2012,9,8,2,77
4,0,1,1,19.68,23.485,63,12.998,2011,10,6,1,22
1,0,1,1,5.74,5.305,33,31.0009,2011,2,8,21,54
2,0,0,1,32.8,37.88,55,12.998,2011,6,11,13,387
4,0,1,2,22.14,25.76,64,12.998,2012,10,9,14,244
4,0,1,2,24.6,28.79,78,15.0013,2011,10,11,18,539
4,0,1,1,10.66,11.365,52,22.0028,2011,12,8,10,110
4,0,1,1,18.86,22.725,88,12.998,2012,10,18,0,57
1,0,1,1,18.04,21.97,33,15.0013,2011,2,14,10,55
3,0,1,1,27.06,30.305,83,7.0015,2011,8,18,20,165
1,0,1,1,9.84,11.365,65,12.998,2012,2,3,9,270
1,0,0,3,9.02,9.09,69,31.0009,2012,2,11,17,144
4,0,1,1,13.12,17.425,93,0.0,2011,12,5,8,404
2,0,0,1,22.96,26.515,43,11.0014,2012,5,19,9,292
4,0,0,1,18.86,22.725,59,8.9981,2012,10,6,21,215
2,0,1,1,14.76,16.665,50,23.9994,2011,4,1,13,110
4,0,0,1,12.3,15.91,70,7.0015,2011,12,4,0,83
4,0,1,1,13.94,16.665,76,8.9981,2011,11,3,2,7
4,0,1,1,9.84,10.605,52,26.0027,2011,12,8,9,225
1,0,1,1,9.84,9.85,44,30.0026,2012,1,13,10,103
3,0,0,2,27.88,31.82,89,11.0014,2012,7,15,2,115
3,0,1,1,29.52,33.335,54,7.0015,2012,8,16,9,337
3,0,1,1,29.52,34.85,74,8.9981,2012,7,10,8,649
2,0,1,1,24.6,28.79,78,7.0015,2012,5,2,0,47
1,0,0,1,20.5,24.24,31,32.9975,2011,3,19,14,312
1,0,0,1,15.58,19.695,43,15.0013,2012,1,8,12,351
4,0,1,1,12.3,15.91,42,6.0032,2012,12,6,14,212
4,0,0,1,12.3,15.15,52,11.0014,2012,11,17,0,106
4,0,1,1,8.2,12.88,69,0.0,2011,12,12,1,9
2,0,1,1,14.76,17.425,46,15.0013,2012,4,5,8,638
3,0,1,1,31.16,34.09,43,15.0013,2012,7,12,17,795
2,0,1,1,22.14,25.76,26,8.9981,2012,4,13,18,671
1,0,1,2,27.06,31.06,41,6.0032,2012,3,15,13,273
3,0,0,1,26.24,28.79,83,8.9981,2011,9,4,5,6
1,0,1,1,5.74,6.06,39,23.9994,2011,2,10,11,45
3,0,1,3,28.7,33.335,84,19.0012,2012,8,10,5,33
2,0,1,1,30.34,32.575,28,26.0027,2011,6,2,11,165
2,0,1,2,23.78,27.275,78,12.998,2012,5,2,13,228
3,0,0,1,29.52,33.335,51,15.0013,2011,7,16,20,296
3,0,0,2,27.06,31.06,74,0.0,2012,8,19,9,270
3,0,1,1,29.52,34.09,70,12.998,2012,8,3,0,71
2,0,0,1,25.42,31.06,41,6.0032,2012,5,12,11,522
1,0,1,1,17.22,21.21,38,23.9994,2012,2,14,17,523
4,0,1,2,13.12,16.665,66,8.9981,2012,11,15,10,153
1,0,1,1,9.02,9.85,35,26.0027,2011,2,8,15,51
4,0,1,2,14.76,17.425,81,8.9981,2011,11,1,3,6
2,0,0,2,21.32,25.0,100,0.0,2011,5,15,0,39
3,0,0,2,26.24,28.03,94,11.0014,2011,8,14,5,10
4,0,1,1,17.22,21.21,38,12.998,2012,11,16,13,278
4,0,1,1,18.04,21.97,88,15.0013,2012,10,18,4,5
1,0,1,1,9.02,11.365,51,11.0014,2011,2,4,11,64
4,0,0,1,6.56,8.335,59,11.0014,2011,12,11,4,5
3,0,0,1,31.16,34.09,45,19.9995,2011,7,16,13,497
4,0,1,1,24.6,31.06,40,11.0014,2012,10,10,15,319
3,0,0,1,29.52,33.335,54,19.0012,2011,7,2,23,154
2,0,0,1,23.78,27.275,64,0.0,2012,6,17,10,436
3,0,1,2,26.24,28.79,83,8.9981,2012,8,1,7,487
2,0,1,1,22.14,25.76,24,11.0014,2012,4,13,19,427
2,0,0,1,14.76,17.425,71,8.9981,2012,4,14,8,160
3,0,1,1,32.8,35.605,41,12.998,2011,8,17,13,176
1,0,0,1,5.74,8.335,54,7.0015,2012,1,14,3,20
4,0,1,1,9.02,10.605,51,19.9995,2012,12,6,8,659
3,0,0,1,34.44,40.15,53,19.9995,2011,7,3,16,414
2,0,1,2,28.7,33.335,74,23.9994,2012,6,1,12,310
4,0,1,1,18.04,21.97,72,7.0015,2011,11,9,19,304
4,0,0,2,10.66,12.88,56,15.0013,2011,12,17,8,59
4,0,0,2,14.76,17.425,57,12.998,2012,12,15,20,201
4,0,0,1,13.94,18.18,53,0.0,2011,11,5,19,204
3,0,1,3,24.6,27.275,88,19.9995,2012,9,18,16,141
1,0,1,3,14.76,16.665,0,22.0028,2011,3,10,20,38
2,0,1,1,22.96,26.515,26,7.0015,2012,4,3,19,558
1,0,1,1,18.04,21.97,72,6.0032,2012,3,15,6,117
1,0,1,1,12.3,14.395,33,15.0013,2011,3,7,19,145
1,0,0,2,16.4,20.455,87,16.9979,2011,1,1,20,36
4,0,0,1,11.48,14.395,81,8.9981,2012,11,18,5,12
3,0,1,1,27.06,31.06,54,7.0015,2011,7,15,21,261
2,0,1,1,27.88,31.82,83,12.998,2012,6,12,19,491
3,0,1,1,32.8,37.12,49,7.0015,2011,8,19,15,222
1,0,1,1,6.56,6.82,37,19.0012,2011,3,3,9,145
4,0,0,1,20.5,24.24,77,0.0,2011,10,9,9,185
3,0,0,3,27.06,31.06,65,16.9979,2011,9,3,10,258
1,1,0,3,5.74,6.06,93,16.9979,2011,1,17,22,13
1,0,1,1,8.2,8.335,40,27.9993,2012,1,18,21,124
2,0,1,1,18.86,22.725,63,0.0,2011,4,18,7,168
2,0,1,3,22.14,25.76,94,16.9979,2011,5,17,3,4
1,0,0,1,13.94,18.18,46,0.0,2011,2,6,13,182
3,0,1,1,32.8,35.605,41,15.0013,2011,8,16,16,303
1,0,0,1,13.94,16.665,76,8.9981,2011,3,13,3,23
4,0,1,2,18.86,22.725,67,0.0,2011,12,5,14,133
4,0,1,1,10.66,14.395,70,6.0032,2011,12,1,23,73
3,0,1,1,25.42,28.79,83,7.0015,2011,9,12,23,69
2,0,0,2,14.76,17.425,81,8.9981,2011,4,9,12,202
1,0,1,1,24.6,31.06,43,12.998,2011,2,18,13,176
4,0,1,1,21.32,25.0,48,11.0014,2011,11,9,14,179
1,0,1,1,9.84,10.605,35,19.0012,2011,1,3,13,61
4,0,0,2,15.58,19.695,76,11.0014,2011,10,2,19,162
4,0,1,2,14.76,17.425,53,11.0014,2011,12,19,19,251
2,0,1,1,23.78,27.275,40,11.0014,2011,6,3,9,230
4,0,1,1,13.94,15.91,46,15.0013,2012,11,5,11,150
2,0,1,3,18.86,22.725,51,7.0015,2012,4,18,12,110
3,0,1,1,25.42,31.06,53,16.9979,2011,7,14,4,6
1,0,1,2,13.94,17.425,81,7.0015,2012,2,16,21,145
1,0,1,2,15.58,19.695,29,26.0027,2012,3,9,13,224
3,0,1,2,31.16,36.365,66,12.998,2012,8,3,21,278
1,0,1,1,14.76,16.665,87,16.9979,2012,1,13,3,7
4,0,1,1,16.4,20.455,82,0.0,2011,11,3,22,137
1,0,1,2,9.84,12.88,92,7.0015,2011,1,19,7,90
4,0,1,1,17.22,21.21,38,8.9981,2012,11,16,15,267
2,0,1,3,17.22,21.21,77,7.0015,2012,4,19,1,13
3,0,1,1,30.34,34.85,70,11.0014,2012,9,5,19,662
3,0,1,3,29.52,33.335,54,16.9979,2011,9,1,14,198
2,0,0,1,20.5,24.24,68,0.0,2012,6,3,5,12
4,0,1,3,18.86,22.725,88,26.0027,2011,11,16,19,111
4,0,0,1,13.12,14.395,53,23.9994,2012,11,4,20,141
3,0,0,2,28.7,33.335,84,19.0012,2011,8,7,0,80
2,0,1,1,30.34,32.575,37,16.9979,2012,6,8,13,416
2,0,1,3,21.32,25.0,94,12.998,2012,5,14,7,75
1,1,0,1,12.3,13.635,36,27.9993,2012,1,2,14,151
2,0,0,1,22.96,26.515,83,7.0015,2011,5,15,19,231
2,0,1,1,18.86,22.725,41,12.998,2011,5,5,23,115
4,0,0,2,13.94,18.18,87,0.0,2012,12,16,6,6
3,0,0,1,23.78,27.275,100,8.9981,2011,9,10,3,37
2,0,1,1,28.7,31.82,37,8.9981,2012,6,8,21,339
3,0,0,1,28.7,31.82,37,16.9979,2012,9,9,17,671
3,0,0,2,28.7,32.575,51,7.0015,2012,7,14,1,118
2,0,1,2,17.22,21.21,58,0.0,2012,4,4,6,126
2,0,1,2,20.5,24.24,82,12.998,2012,5,7,8,639
2,0,1,1,27.06,31.06,61,12.998,2011,5,2,15,155
2,0,0,1,24.6,31.06,38,16.9979,2011,5,7,15,378
